Population_Density_2010,Population_2010,White_Population_2010,Black_Population_2010,Asian_Population_2010,All_Other_Races_2010,Hispanic_Latino_2010,Household_Income_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Commercial_Construction_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Bachelors_Degree_2015,High_School_Diploma_2015,Early_Care_Proximity_2015,SchoolAge_Proximity_2015,Library_Card_Prevalence_2015,Proficiency_Elementary_School_2014,Proficiency_Middle_School_2014,Proficiency_High_School_2014,Highschool_Graduation_Rate_2014,Student_Absenteeism_2014,Neighborhood_School_Attendance_2014,Voter_Participation_2015,Low_Cost_Healthcare_Proximity_2016,Grocery_Proximity_2015,Pharmacy_Proximity_2015,Park_Proximity_2015,Births_to_Adolescents_2014,Low_Birthweight_2014,Prenatal_Care_2014,Age_of_Death_2014,Public_Health_Insurance _2015,Housing_Density_2015,Single_Family_Housing_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Residential_Renovation_2015,Foreclosures_2015,Home_Sales_Price_2015,Housing_Violations_2015,Subsidized_Housing_2015,Home_Ownership_2015,Residential_Occupancy_2014,Rental_Costs_2014,Violent_Crime_Rate_2015,Property_Crime_Rate_2015,Disorder_Call_Rate_2015,Animal_Control_Call_Rate_2015,Fire_Call_Rate_2015,Nuisance_Violations_2015,Long_Commute_2014,Bicycle_Friendliness_2015,Street_Connectivity_2016,Sidewalk_Availability_2013,Transit_Proximity_2015,Transit_Ridership_2015
8,2868,10.3,58.8,2.3,2.6,26.1,35714,30,81,1.15,17894,89468,29,59,18,71,100,100,19,37.4,22.1,40,71,17,63,11,48,64,71,72,2.3,10.2,46.6,65,33,3.4,51,1422,35,33,2.01,3.3,70364,2.2,0,35,91,881,8.2,44.5,193,55.2,38.5,15,44,1.4,1.22,56.3,100,28
5,1442,75,11.2,3,2.4,8.5,44214,11,88,4.47,79526,159052,24,55,31,92,30,30,16,50,37,77.8,89,11,91,19,1,43,46,100,3.3,6.7,70,72,14,2.5,48,1677,37,13,1.92,0.8,147653,0.26,0,73,77,939,1.9,16.6,104.5,33.8,16.6,10.9,57,1.7,1.1,14.1,100,2
7,2331,84.3,7.3,2.7,1.7,3.9,57177,5,92,0.57,1697,3393,39,0,64,98,15,83,21,73.4,73.7,62.5,57,10,89,29,0,3,3,82,0,11.1,91.1,77,6,3.8,26,3244,31,4,4.54,0.2,474760,0.08,0,62,100,1008,0,6.7,38.8,38.8,18.2,0.5,55,1.6,1.07,45.1,68,23
4,1410,81,7.4,3.1,1.3,7.2,61023,6,95,6.7,22142,66425,23,0,45,100,75,75,20,74,64.7,,89,7,88,33,0,62,62,0,0,7.7,87.2,77,9,1.8,60,2972,44,6,7.54,0,429851,0.31,0,52,100,846,0,14.7,53,26.8,14.1,3.4,41,1.6,1.15,27.7,95,0
4,819,74.1,10.1,3.9,3.8,8.1,71200,3,100,2.69,20967,125801,23,0,79,100,0,74,17,88.2,87.5,,,4,95,28,0,0,0,74,0,4.8,76.2,,3,2.1,33,4424,25,7,1.34,0,958400,0.43,0,25,100,1028,0,33.4,53.4,22.3,21.1,0.4,62,1.6,1.04,52.9,43,19
3,2617,48.6,22.4,13.2,3.1,12.7,95865,4,94,2,7465,14930,29,0,53,91,71,78,19,60.9,41.8,71.4,89,5,53,13,0,0,0,11,0.6,6.3,83.1,59,8,1.2,95,2836,9,14,1.58,0.8,231130,0,0,83,95,1818,0.9,41.6,36.2,16.3,16,6.5,66,1.4,1.27,61.3,8,87
8,2238,36.2,43.4,3.8,3.1,13.5,31537,15,79,0.35,12934,90537,21,0,36,87,100,100,15,43.5,30.3,25,83,19,74,12,0,97,35,37,5,5,47.5,68,17,3.3,43,1875,27,19,0.35,1.2,124480,0.1,9,34,96,975,1.6,19,62.3,16.6,19.8,8.4,58,1.7,1.06,19.7,0,
7,1002,72.7,8.6,12.8,1.4,4.6,66007,2,100,3.59,8505,68043,30,98,55,94,43,43,20,77.8,,,,0,56,20,0,100,100,89,0,6.1,90.9,86,6,4.6,3,3033,51,14,0.72,0,,0,0,7,100,1158,0,22.2,49.4,6,16.2,0.5,79,2.2,1.08,59.9,100,84
1,1761,27.6,38.2,2.4,2,29.7,59357,20,86,0.21,18031,108184,31,0,25,77,80,84,18,45.1,35.4,56.7,93,9,73,5,0,18,0,76,0,10.6,57.5,67,27,0.3,84,1995,19,22,0.11,2.8,410368,0.33,0,83,95,940,4.9,42,74.2,45.8,21.3,2.6,76,1.4,1.18,45.4,45,27
2,2405,39.9,45.3,3.1,4.3,7.4,46361,17,94,0,3602,32420,47,34,32,81,74,74,17,42,39.6,18.8,77,15,63,9,0,0,0,26,2.9,5.9,69.1,65,21,0.8,100,1850,28,29,0.42,2.9,136207,0.1,1,72,94,1125,1.9,20.9,91.7,44.5,10.3,3.6,63,1.4,1.08,33.4,0,
11,2823,13.8,38.6,8.4,1.9,37.3,25218,47,85,0.75,8572,128582,38,75,8,59,100,100,15,23.7,19.1,40.6,87,12,81,13,73,74,72,41,7.4,8.8,41.2,64,50,3.9,39,1517,36,26,1.49,1.8,67842,9.39,12,29,97,717,10.7,37.4,167.6,34.8,25.3,13.3,78,1.9,1.11,40.5,93,529
4,1211,48.9,44.3,2.6,2.3,1.9,67045,10,95,4.97,19320,927353,59,91,69,98,96,96,13,33.3,23.1,,,9,45,18,33,0,0,100,0,9.5,85.7,66,8,2.6,55,1547,62,28,6.03,1.6,233327,0.96,0,38,91,1090,13,115.6,283.2,56.4,47.7,18.4,40,1.7,1.35,75.3,100,68
4,2017,17.7,39.6,1.8,3.5,37.5,28939,41,88,4.59,13330,959786,41,0,11,62,52,52,29,22.9,21.4,23.1,59,17,87,6,0,63,38,51,2.7,12.2,60.8,70,38,1.1,32,1330,57,43,0.2,0.6,110722,4.17,6,7,83,732,14.4,99.5,595.7,65.2,51.5,22.1,42,1.5,1.03,78.7,100,62
